song,artist,genre,mood,language
Locked Out of Heaven,Bruno Mars,Funk Pop,Energetic,English
Good Girl,Burlesque,Musical,Love,English
Bound to You,Burlesque,Musical,Love,English
But I'm a Good Girl,Burlesque,Musical,Love,English
Something's Got a Hold On Me,Burlesque,Musical,Energetic,English
Tough Lover,Burlesque,Musical,Happy,English
Guy What Takes His Time,Burlesque,Musical,Love,English
Ain't No Rest for the Wicked,Cage the Elephant,Indie Rock,Energetic,English
You are the Reason,Calum Scott,Pop Ballad,Love,English
Senorita,Camila Cabello,Pop,Love,English
Havana,Camila Cabello,Pop,Love,English
The Loneliest Girl,Carole & Tuesday,Anime,Sad,English
Bullshit,Carole & Tuesday,Anime,Energetic,English
I Ain't in Checotah,Carrie Underwood,Country,Chill,English
Witch Doctor,Cartoons,Novelty,Happy,English
Mr. Blue,Catherine Feeney,Indie Folk,Sad,English
Memory,Cats,Musical Theatre,Sad,English
Lemon Boy,Cavetown,Indie,Sad,English
Ice Cream Truck,Cazwell,Hip-Hop,Happy,English
It's All Coming Back to Me,Celine Dion,Pop,Energetic,English
Danny Boy,Celtic Woman,Celtic,Sad,English
Scarborough Fair,Celtic Woman,Folk,Chill,English
Good Luck Babe,Chappell Roan,Pop,Energetic,English
Bookstore Girl,Charlie Burg,,,
Devil Went down to Georgia,Charlie Daniels Band,Country,Energetic,English
We Don't Talk Anymore,Charlie Puth,Pop,Sad,English
Big Boy,Charlotte Cardin,,,
All That Jazz,Chicago,Musical Theatre,Love,English
Roxie,Chicago,Musical Theatre,Happy,English
Mister Cellophane,Chicago,Musical Theatre,Sad,English
Razzie Dazzle,Chicago,Musical Theatre,Energetic,English
Sakura Kiss,Chieko Kawabe,Anime,Love,Japanese
Redbone,Childish Gambino,R&B,Love,English
Get Out,CHVRCHES,Synth-Pop,Energetic,English
The Mother We Share,CHVRCHES,Synth-Pop,Energetic,English
Error,CielA,,,
Apocalypse,Cigarettes After Sex,Dream Pop,White Girl Music,English
So this is Love,Cinderella,Disney,Love,English
Give It Back,Co Shu Nie,Anime,Halloween,Japanese
Bubbly,Colbie Caillat,Pop,White Girl Music,English
A Sky Full of Stars,Coldplay,Alternative Rock,Happy,English
Viva la Vida,Coldplay,Alternative Rock,Energetic,English
Yellow,Coldplay,Alternative Rock,Love,English
Something Just Like This,Coldplay,Alternative Rock,Happy,English
Sky Full of Stars,Coldplay,Alternative Rock,Happy,English
Paradise,Coldplay,Alternative Rock,Happy,English
Fix You,Coldplay,Alternative Rock,Sad,English
Clocks,Coldplay,Alternative Rock,Chill,English
Apologize,Coldplay,Pop Rock,Sad,English
Being Alive,Company,Musical Theatre,Chill,English
Heather,Conan Gray,Indie Pop,White Girl Music,English
Idle Town,Conan Gray,Indie Pop,Nostalgic,English
Stupid Cupid,Connie Francis,Doo-Wop,Happy,English
Accidentally in Love,Counting Crows,Pop Rock,Love,English
Zombie,The Cranberries,Alternative Rock,Angry,English
Bad Moon Rising,Creedence Clearwater Revival,Rock,Energetic,English
Hatefuck,Cruel Youth,Alternative,Sad,English
I Really Want to Stay at Your House,Cyberpunk Edgerunners,Synthwave,Sad,English
I'll Still Have Me,Cyn,Pop,Sad,English
We Are Angels,D City Rock,Anime,Energetic,Japanese
The Gates,Da Vinci's Notebook,Comedy,Happy,English
Dreaming On,Da-ice,J-Pop,Energetic,Japanese
Get You,Daniel Caesar,R&B,Love,English
Best Part,Daniel Caesar,R&B,Love,English
Instagram,Dean,K-R&B,Love,Korean
Baby it's Cold Outside,Dean Martin,Christmas,Christmas,English
Let it Snow,Dean Martin,Christmas,Christmas,English
If Could Tell Her,Dear Evan Hansen,Musical Theatre,Love,English
Waving through a Window,Dear Evan Hansen,Musical Theatre,Sad,English
Sincerely Me,Dear Evan Hansen,Musical Theatre,Happy,English
They're Only Human,Death Note,Anime,Sad,Japanese
Trust Me,Devil's Carnival,Musical,Halloween,English
In All My Dreams I Drown,Devil's Carnival,Musical,Halloween,English
"Tears, John",Devil's Carnival,Musical,Sad,English
A Penny for a Tale,Devil's Carnival,Musical,Halloween,English
Prick! Goes the Scorpion's Tale,Devil's Carnival,Musical,Halloween,English
Grief,Devil's Carnival,Musical,Sad,English
Runaround Sue,Dion,Doo-Wop,Energetic,English
Say So,Doja Cat,Pop,Happy,English
"Bitch I'm a Cow",Doja Cat,Pop,Happy,English
Jolene,Dolly Parton,Country,Sad,English
Breakfast,Dove Cameron,Pop,Love,English
Through the Fire and Flames,DragonForce,Power Metal,Energetic,English
Passionfruit,Drake,R&B,Love,English
Levitating,Dua Lipa,Disco Pop,Energetic,English
Invisible,Duran Duran,New Wave,Chill,English
Hungry Like the Wolf,Duran Duran,New Wave,Energetic,English
"September","Earth, Wind, Fire",Disco,Happy,English
"Boogie Wonderland","Earth, Wind, Fire",Disco,Energetic,English
Santa Baby,Eartha Kitt,Christmas,Christmas,English
A Team,Ed Sheeran,Folk Pop,Sad,English
Bad Habits,Ed Sheeran,Pop,Energetic,English
Parting Glass,Ed Sheeran,Folk,Sad,English
Thinking Out Loud,Ed Sheeran,Pop,White Girl Music,English
I see Fire,Ed Sheeran,Folk,Energetic,English
La Vie En Rose,Edith Piaf,Chanson,Love,French
Sorry Haha I fell Asleep,Egg,Indie,Sad,English
Kure??,Etta??,,,
Mr. Blue Sky,Electric Light Orchestra,Rock,Happy,English
Lilium,Elfen Lied,Anime,Chill,Latin
Dream A Little Dream of Me,Ella Fitzgerald,Jazz,Love,English
I Like You Best,Ella Red,Pop,,
Love me Like You Do,Ellie Goulding,Pop,Love,English
I Like You Best,Elton John,Rock,Love,English
Don't go Breaking my Heart,Elton John,Pop Rock,Happy,English
Can't Help Falling in Love,Elvis Presley,Rock and Roll,Love,English
Hound Dog,Elvis Presley,Rock and Roll,Energetic,English
Numb Little Bug,Em Beihold,Indie Pop,Sad,English
Space Drive,Ember Amane,Anime,Energetic,English
True Love's Kiss,Enchanted,Disney,Love,English
Happy Working Song,Enchanted,Disney,Happy,English
That's How You Know,Enchanted,Disney,Happy,English
Would You Fall in Love with me Again,EPIC The Musical,Musical Theatre,Love,English
The Willow Maid,Erutan,Folk,Chill,English
At Last,Etta James,Soul,Love,English
Carry Me,Eurielle,Cinematic,Sad,English
My Immortal,Evanescence,Gothic Rock,Sad,English
Lumiere,Expedition 33,Soundtrack,Energetic,French
Alicia,Expedition 33,Soundtrack,Energetic,French
Johnny Guitar,Fallout New Vegas,Country,Nostalgic,English
Big Iron,Fallout New Vegas,Country,Nostalgic,English
I Don't Want to Set the World on Fire,Fallout New Vegas,Doo-Wop,Love,English
Pure Comedy,Father John Misty,Indie Folk,Chill,English
Cupid,Fifty Fifty,K-Pop,Love,English
Dreams,Fleetwood Mac,Rock,White Girl Music,English
Girl with One Eye,Florence + the Machine,Indie Rock,White Girl Music,English
Jenny of Oldstones,Florence + the Machine,Folk,White Girl Music,English
Seven Devils,Florence + the Machine,Indie Rock,White Girl Music,English
Pumped Up Kicks,Foster the People,Indie Pop,Happy,English
Thinkin' Bout You,Frank Ocean,R&B,Love,English
Beyond the Sea,Frank Sinatra,Jazz,Happy,English
My Way,Frank Sinatra,Jazz,Nostalgic,English
Fly me to the Moon,Frank Sinatra,Jazz,Love,English
Can't Take my Eyes off of You,Frankie Valli,Pop,Love,English
"New York, New York",Frank Sinatra,Jazz,Energetic,English
Have Yourself a Merry Little Christmas,Frank Sinatra,Christmas,Christmas,English
Great Pretender,Freddie Mercury,Rock,Energetic,English
Do You Want to Build a Snowman,Frozen,Disney,Sad,English
For the First Time in Forever,Frozen,Disney,Happy,English
Love is an Open Door,Frozen,Disney,Love,English
Let it Go,Frozen,Disney,Energetic,English
Reindeer(s) are better than People,Frozen,Disney,Happy,English
